wavelength_nm,R30,R45,R60
4.402411804000000188e+02,3.198889250773833126e-01,3.302516290867809068e-01,1.148904923671367539e+00
4.403550415000000271e+02,3.197403520040629776e-01,3.305098896102245942e-01,1.149133338418369954e+00
4.404689025999999785e+02,3.195946025918673383e-01,3.307575652713006242e-01,1.149336175515514258e+00
4.405827942000000235e+02,3.194516158294026797e-01,3.309949231839179329e-01,1.149514060935457271e+00
4.406966552999999749e+02,3.193113323188007668e-01,3.312222229447552291e-01,1.149667610129892825e+00
4.408105469000000198e+02,3.191736942174809855e-01,3.314397169714913272e-01,1.149797428328602322e+00
4.409244080000000281e+02,3.190386451823318259e-01,3.316476508248756283e-01,1.149904110828636083e+00
4.410382996000000162e+02,3.189061303161994099e-01,3.318462635155384199e-01,1.149988243273994737e+00
4.411521912000000043e+02,3.187760961165683193e-01,3.320357877963793225e-01,1.150050401926154597e+00
4.412660827999999924e+02,3.186484904263360840e-01,3.322164504413209762e-01,1.150091153925768106e+00
4.413800049000000172e+02,3.185232623865784651e-01,3.323884725111651006e-01,1.150111057545861071e+00
4.414938965000000053e+02,3.184003623912153302e-01,3.325520696072383764e-01,1.150110662436830022e+00
4.416078185999999732e+02,3.182797420434899105e-01,3.327074521134761320e-01,1.150090509863533228e+00
4.417217102000000182e+02,3.181613541141742885e-01,3.328548254275480733e-01,1.150051132934751807e+00
4.418356322999999861e+02,3.180451525014271752e-01,3.329943901815959895e-01,1.149993056825295623e+00
4.419495544000000109e+02,3.179310921922257616e-01,3.331263424531129003e-01,1.149916798991005296e+00
4.420635070999999812e+02,3.178191292253025324e-01,3.332508739664674091e-01,1.149822869376903922e+00
4.421774292000000059e+02,3.177092206555192089e-01,3.333681722855404428e-01,1.149711770618727646e+00
4.422913818000000106e+02,3.176013245196149248e-01,3.334784209979160807e-01,1.149583998238069560e+00
4.424053040000000010e+02,3.174953998032668534e-01,3.335817998910396986e-01,1.149440040831351206e+00
4.425192566000000056e+02,3.173914064094085496e-01,3.336784851207348912e-01,1.149280380252832190e+00
4.426332092000000102e+02,3.172893051277483889e-01,3.337686493724416614e-01,1.149105491791857503e+00
4.427471618999999805e+02,3.171890576054390842e-01,3.338524620155230438e-01,1.148915844344537529e+00
4.428611144999999851e+02,3.170906263188484342e-01,3.339300892509619034e-01,1.148711900580047907e+00
4.429750976999999921e+02,3.169939745463837277e-01,3.340016942527527233e-01,1.148494117101721335e+00
4.430890502999999967e+02,3.168990663423268961e-01,3.340674373032746503e-01,1.148262944603107627e+00
4.432030333999999812e+02,3.168058665116379458e-01,3.341274759229158064e-01,1.148018828019165660e+00
4.433170165999999881e+02,3.167143405856860383e-01,3.341819649942012194e-01,1.147762206672742868e+00
4.434309997999999950e+02,3.166244547988706359e-01,3.342310568806661220e-01,1.147493514416499716e+00
4.435449828999999795e+02,3.165361760660965751e-01,3.342749015406958901e-01,1.147213179770416147e+00
4.436589660999999865e+02,3.164494719610683737e-01,3.343136466365474457e-01,1.146921626055032339e+00
4.437729797000000076e+02,3.163643106953709094e-01,3.343474376387500224e-01,1.146619271520547434e+00
4.438869933999999944e+02,3.162806610983048827e-01,3.343764179260750868e-01,1.146306529471916136e+00
4.440009766000000013e+02,3.161984925974485883e-01,3.344007288812504974e-01,1.145983808390062419e+00
