wavelength_nm,R30,R45,R60
4.402411804000000188e+02,3.037738376524599104e-01,3.270349307932636784e-01,1.239636396581522915e+00
4.403550415000000271e+02,3.268920919633362399e-01,3.260962937247909310e-01,1.270547360319292940e+00
4.404689025999999785e+02,3.306571661332426415e-01,3.596905186071535088e-01,1.120884632281224036e+00
4.405827942000000235e+02,2.990328596249470228e-01,2.826983034929343441e-01,1.219399579223334529e+00
4.406966552999999749e+02,3.364308480590225137e-01,3.745303640087912500e-01,1.123781962430607129e+00
4.408105469000000198e+02,3.271184566390997750e-01,3.490828491824394253e-01,1.175498764238108063e+00
4.409244080000000281e+02,3.267463427199610582e-01,3.259063021017405415e-01,1.096307525590956233e+00
4.410382996000000162e+02,2.939319150044553131e-01,3.719349334014417363e-01,1.203057573513621081e+00
4.411521912000000043e+02,2.835327119067820867e-01,3.140493998699407929e-01,1.406041726371848100e+00
4.412660827999999924e+02,3.258890695363659828e-01,3.489898440330884699e-01,1.136925270930325249e+00
4.413800049000000172e+02,3.415334916025315470e-01,3.372602862513350286e-01,1.054878031878112576e+00
4.414938965000000053e+02,3.148437810194147923e-01,2.855377698665130803e-01,1.168487995371991550e+00
4.416078185999999732e+02,3.029361805920900985e-01,3.457783268017378120e-01,1.079458399570616178e+00
4.417217102000000182e+02,2.906943363504010391e-01,3.324173316619922769e-01,1.081599534687698760e+00
4.418356322999999861e+02,3.391949274092785349e-01,3.210148094239601013e-01,1.142199221466174475e+00
4.419495544000000109e+02,3.324543509278239939e-01,3.161198080933305121e-01,1.020924181786653007e+00
4.420635070999999812e+02,2.875201307795458017e-01,2.909911726280258182e-01,1.173580513092066235e+00
4.421774292000000059e+02,3.125346413938418499e-01,3.564829103607874972e-01,1.176592360857781960e+00
4.422913818000000106e+02,3.508582288515739722e-01,3.100146330106302028e-01,1.034156208730072635e+00
4.424053040000000010e+02,3.488536635985846068e-01,3.765194193038063353e-01,9.939470713338478536e-01
4.425192566000000056e+02,3.310106731534311342e-01,3.035018302222209363e-01,1.066857620979118959e+00
4.426332092000000102e+02,2.899059044536623220e-01,3.141330616274692900e-01,1.048194571883241277e+00
4.427471618999999805e+02,3.068569436910727477e-01,3.599815755567158937e-01,1.226570316627132451e+00
4.428611144999999851e+02,3.374968026599913240e-01,3.327663999980133847e-01,1.211914945720803605e+00
4.429750976999999921e+02,3.175791617175410253e-01,3.587492450897600271e-01,1.026730224420632220e+00
4.430890502999999967e+02,3.156018040715899975e-01,3.168914080547195478e-01,1.149254763195705520e+00
4.432030333999999812e+02,3.161775640996893899e-01,3.491800726648747188e-01,1.036965021290003230e+00
4.433170165999999881e+02,3.270844971083125552e-01,3.187572030318110428e-01,1.183777485980977762e+00
4.434309997999999950e+02,3.296120652983621779e-01,3.072537111419121891e-01,1.094801958721423274e+00
4.435449828999999795e+02,3.023263697920092752e-01,3.613664649531205808e-01,1.091309663497035620e+00
4.436589660999999865e+02,3.180401797932617125e-01,3.191796293536983686e-01,1.252407025875245772e+00
4.437729797000000076e+02,3.224676882571857472e-01,3.210867314452511279e-01,1.080926119332952018e+00
4.438869933999999944e+02,3.145305888285919171e-01,3.598603697375980515e-01,1.266650976974452281e+00
4.440009766000000013e+02,3.309131089446123442e-01,3.523007618765513493e-01,1.045871585151929350e+00
4.441149902000000225e+02,3.633291919413170201e-01,3.581443435459101265e-01,1.247262893369524006e+00
4.442290039000000093e+02,3.199315374053922634e-01,3.504259811310903028e-01,1.155988717281130951e+00
4.443430175999999960e+02,3.243981187068780137e-01,3.382911136020746445e-01,1.125522661500874877e+00
4.444570618000000195e+02,2.993176449518861193e-01,3.255983385622998605e-01,1.126593716117795463e+00
4.445710753999999838e+02,2.956604681701810455e-01,3.220782719934505711e-01,1.141492743463283999e+00
4.446851196000000073e+02,3.531527575784702555e-01,3.402465671792793134e-01,1.130156897761792845e+00
4.447991637999999739e+02,3.271432418085826743e-01,3.087314954168797199e-01,1.251770888598300102e+00
4.449132079999999974e+02,2.918072592738414350e-01,3.124865160220122173e-01,1.306629097286671426e+00
4.450272522000000208e+02,3.104493637401380957e-01,2.930928303662594936e-01,1.216724858972739076e+00
4.451412963999999874e+02,3.057960976674869991e-01,3.396935043910470631e-01,1.248113114066905505e+00
4.452553406000000109e+02,3.111185524649670020e-01,3.359301474690315481e-01,1.371655706623435611e+00
4.453694153000000142e+02,3.207080749216530413e-01,3.613723978771117284e-01,1.161795546661732459e+00
4.454834900000000175e+02,3.033853627314198609e-01,3.336023838867553382e-01,1.035146421117003390e+00
4.455975341999999841e+02,3.132565421345583911e-01,3.261108301041641400e-01,1.118088337444897107e+00
4.457116088999999874e+02,3.145386136375775687e-01,3.372232075602057955e-01,1.200252519945710805e+00
4.458257141000000274e+02,3.134800277614309683e-01,3.524534968893613951e-01,1.108983703970973123e+00
4.459397887999999739e+02,3.109637727801807250e-01,3.274979367931023511e-01,1.168670499799429274e+00
4.460538634999999772e+02,3.189387427507854866e-01,3.415874742166799538e-01,1.081504838006275060e+00
4.461679687999999828e+02,2.907428993999695011e-01,3.197532008654758728e-01,1.146042114449018268e+00
4.462820740000000228e+02,3.300457561167525200e-01,3.430490623765829472e-01,1.199659959095030093e+00
4.463961487000000261e+02,2.953200493879115096e-01,3.341680981497941461e-01,1.240582886613561753e+00
